Currency,Units per USD,USD per unit,Date
EUR,0.892,1.121,2022-01-31
GBP,0.744,1.344,2022-01-31
INR,74.617,0.013,2022-01-31
AUD,1.416,0.706,2022-01-31
CAD,1.27,0.788,2022-01-31
SGD,1.351,0.74,2022-01-31
CHF,0.931,1.075,2022-01-31
HKD,7.797,0.128,2022-01-31
MXN,20.636,0.048,2022-01-31
PHP,51.138,0.02,2022-01-31
PLN,4.089,0.245,2022-01-31
PEN,3.837,0.261,2022-01-31
EUR,0.891,1.122,2022-02-28
GBP,0.745,1.342,2022-02-28
INR,75.482,0.013,2022-02-28
AUD,1.377,0.726,2022-02-28
CAD,1.266,0.79,2022-02-28
SGD,1.355,0.738,2022-02-28
CHF,0.918,1.089,2022-02-28
HKD,7.814,0.128,2022-02-28
MXN,20.407,0.049,2022-02-28
PHP,51.273,0.02,2022-02-28
PLN,4.178,0.239,2022-02-28
PEN,3.798,0.263,2022-02-28
EUR,0.901,1.11,2022-03-31
GBP,0.76,1.315,2022-03-31
INR,75.9,0.013,2022-03-31
AUD,1.334,0.75,2022-03-31
CAD,1.248,0.801,2022-03-31
SGD,1.354,0.739,2022-03-31
CHF,0.921,1.086,2022-03-31
HKD,7.832,0.128,2022-03-31
MXN,19.918,0.05,2022-03-31
PHP,51.792,0.019,2022-03-31
PLN,4.186,0.239,2022-03-31
PEN,3.714,0.269,2022-03-31
EUR,0.948,1.054,2022-04-30
GBP,0.795,1.258,2022-04-30
INR,76.532,0.013,2022-04-30
AUD,1.416,0.706,2022-04-30
CAD,1.285,0.778,2022-04-30
SGD,1.383,0.723,2022-04-30
CHF,0.974,1.027,2022-04-30
HKD,7.847,0.127,2022-04-30
MXN,20.406,0.049,2022-04-30
PHP,52.336,0.019,2022-04-30
PLN,4.431,0.226,2022-04-30
PEN,3.837,0.261,2022-04-30
EUR,0.932,1.073,2022-05-31
GBP,0.793,1.261,2022-05-31
INR,77.633,0.013,2022-05-31
AUD,1.393,0.718,2022-05-31
CAD,1.266,0.79,2022-05-31
SGD,1.37,0.73,2022-05-31
CHF,0.96,1.042,2022-05-31
HKD,7.847,0.127,2022-05-31
MXN,19.689,0.051,2022-05-31
PHP,52.503,0.019,2022-05-31
PLN,4.269,0.234,2022-05-31
PEN,3.686,0.271,2022-05-31
EUR,0.957,1.045,2022-06-30
GBP,0.823,1.215,2022-06-30
INR,79.03,0.013,2022-06-30
AUD,1.451,0.689,2022-06-30
CAD,1.289,0.776,2022-06-30
SGD,1.391,0.719,2022-06-30
CHF,0.955,1.047,2022-06-30
HKD,7.847,0.127,2022-06-30
MXN,20.128,0.05,2022-06-30
PHP,54.971,0.018,2022-06-30
PLN,4.484,0.223,2022-06-30
PEN,3.811,0.262,2022-06-30
EUR,0.978,1.022,2022-07-31
GBP,0.821,1.218,2022-07-31
INR,79.341,0.013,2022-07-31
AUD,1.43,0.699,2022-07-31
CAD,1.28,0.781,2022-07-31
SGD,1.381,0.724,2022-07-31
CHF,0.951,1.051,2022-07-31
HKD,7.85,0.127,2022-07-31
MXN,20.36,0.049,2022-07-31
PHP,55.367,0.018,2022-07-31
PLN,4.631,0.216,2022-07-31
PEN,3.918,0.255,2022-07-31
EUR,0.997,1.003,2022-08-31
GBP,0.859,1.164,2022-08-31
INR,79.473,0.013,2022-08-31
AUD,1.458,0.686,2022-08-31
CAD,1.311,0.763,2022-08-31
SGD,1.397,0.716,2022-08-31
CHF,0.977,1.024,2022-08-31
HKD,7.849,0.127,2022-08-31
MXN,20.088,0.05,2022-08-31
PHP,56.226,0.018,2022-08-31
PLN,4.717,0.212,2022-08-31
PEN,3.839,0.261,2022-08-31
EUR,1.02,0.98,2022-09-30
GBP,0.898,1.114,2022-09-30
INR,81.384,0.012,2022-09-30
AUD,1.548,0.646,2022-09-30
CAD,1.374,0.728,2022-09-30
SGD,1.435,0.697,2022-09-30
CHF,0.98,1.02,2022-09-30
HKD,7.85,0.127,2022-09-30
MXN,20.105,0.05,2022-09-30
PHP,58.738,0.017,2022-09-30
PLN,4.957,0.202,2022-09-30
PEN,3.976,0.252,2022-09-30
EUR,1.012,0.988,2022-10-31
GBP,0.868,1.151,2022-10-31
INR,82.777,0.012,2022-10-31
AUD,1.564,0.639,2022-10-31
CAD,1.364,0.733,2022-10-31
SGD,1.415,0.707,2022-10-31
CHF,1.001,0.999,2022-10-31
HKD,7.850,0.127,2022-10-31
MXN,19.823,0.050,2022-10-31
PHP,58.148,0.017,2022-10-31
PLN,4.769,0.210,2022-10-31
PEN,3.986,0.251,2022-10-31
